TEXT,TARGET,LABEL
"There's nothing unmanly about being gay, and for men who like to express femininity, there's nothing wrong with that either. If anything it shows they are secure enough in their masculinity to experiment. For others, such as non binary people and trans women, I'm glad we now live in a society where there is more acceptance of people expressing their gender however they feel is right.",Gender,gender_bias
It disgusts me when I see women who think they're lesbians. They obviously have a mental illness or haven't found the right man to show them how much happier they'd be in a normal relationship.,Gender,gender_bias
"Or maybe they're just lesbians so they're not interested in men? You can't force someone to be something they're not, and it doesn't affect you if they choose to be in same sex relationships.",Gender,gender_bias
"It's not natural, lesbianism makes women take on masculine roles that are better suited to men.",Gender,gender_bias
"It sounds like you don't know any lesbians in real life. Gender roles are socially conditioned into us, whether someone feels more feminine or masculine, again, is none of your business and doesn't affect you in any way!",Gender,gender_bias
It's vile that we are confusing children with bisexual characters on tvâ€¦ whatever next? trans SpongeBob?,Gender,gender_bias
There's nothing vile or confusing about bisexuality. I'm sure children can wrap their heads around it. It simply means someone is attracted to more than one gender. What's so hard to get about that?,Gender,gender_bias
There are only two genders.,Gender,gender_bias
"Bisexual people might be attracted to men, women, non-binary people, etc. The point is that it's about the person and who they are, not their gender.",Gender,gender_bias
Now the innocence of children is being eroded by comics with a bi-sexual superman. How can we protect our children from this nonsense?,Gender,gender_bias
"Nothing about superman being bisexual is eroding the innocence of children. If you can teach children about straight relationships, you can teach them that bisexuals exist. If you think otherwise, you need to be educated about bisexuality. If you have any questions ask them!",Gender,gender_bias
"It's teaching them that it's normal to have sexual relationships with multiple people, men or women, there's no morality in it.",Gender,gender_bias
"Being bisexual doesn't mean that you have multiple partners at once (although some people bi, straight, or gay do choose to), it just means you are attracted to more than one gender. For me bisexuality means being attracted to someone because of who they are as a person, not because of gender. There's nothing harmful about teaching children about that!",Gender,gender_bias
"First there's bisexual characters on tv, next we're normalising child marriage. It's a slippery slope...",Gender,gender_bias
There's absolutely no link between bisexuality and child marriage. What are you implying?,Gender,gender_bias
Normalising deviance and making people accept it opens us up as a society to having to 'accept' even more perverted things.,Gender,gender_bias
"There's nothing 'deviant' about bisexuals. It really doesn't affect anyone else if someone chooses to be with a man, a woman, or a non-binary person.",Gender,gender_bias
Superman is now bisexual?? He has become a bit of a slag - with no morals and a predator heâ€™s happy to get it away with anyone he comes across.,Gender,gender_bias
"Bisexuals aren't 'slags', being attracted to people of all genders doesn't make you a predator or mean that you have 'no morals' it just means gender isn't the deciding factor in who you're attracted to.",Gender,gender_bias
Sounds like they can't make up their minds and are confused. Probably some of these people are gay and in denial or straight and greedy.,Gender,gender_bias
"Those are outdated stereotypes about bisexuals. They don't have to make up their minds because you can be attracted to different sorts of people. Are you attracted to people with blonde hair or brown hair, and if you can't pick one, does that make you 'confused'? Think of it that way. There's no need to 'pick a side'.",Gender,gender_bias
Can't believe they are making tv characters that have been around for years 'bisexual' now. This is PC gone mad.,Gender,gender_bias
Why does it bother you?,Gender,gender_bias
"Why do we have to bring sexuality into things like tv shows? It's not necessary, just all part of the woke agenda.",Gender,gender_bias
It's good to have representation. a few decades ago there were no bisexual characters on tv. Seeing them would have made young bisexual people feel validated and less ashamed about coming out.,Gender,gender_bias
Making tv characters bisexual is an attack on white masculinity. We are being erased.,Gender,gender_bias
"There are still plenty of white men on tv, some just happen to be bisexual. How is it an attack on masculinity? Bisexual men can be masculine, and are sometimes more secure in their masculinity than many straight men as their masculinity isn't dependent on heterosexuality!",Gender,gender_bias
There's nothing masculine about being bent,Gender,gender_bias
"If your masculinity is dependent on proving how straight you are, it sounds quite fragile. What is masculinity anyway?",Gender,gender_bias
"Superman is now bisexual, apparently. Why is he still called superMAN?",Gender,gender_bias
Bisexual men are men?,Gender,gender_bias
"Doesn't sound very manly, sounds gay.",Gender,gender_bias
Gay men are men too. Do you only think of straight men as men?,Gender,gender_bias
"It's just not normal is it, not how men are supposed to act.",Gender,gender_bias
Who decides how men are 'supposed' to act? Have a think about your views on masculinity. What makes a man a man? If you think being straight is the only thing that makes a man a man you need to think again.,Gender,gender_bias
Bisexuals are greedy.,Gender,gender_bias
"No, that's an outdated stereotype. There's nothing greedy about being attracted to people because of who they are as people, not because of their gender!",Gender,gender_bias
Why don't they just stick with men or women? It's greedy to have both.,Gender,gender_bias
"It doesn't affect anyone else who bisexual people love. Also, you can't choose who you're attracted to!",Gender,gender_bias
"Bisexuals are confused, they can't make up their minds. They are mentally ill.",Gender,gender_bias
Why do they need to 'make up their minds'? Can't they just be attracted to whoever they are attracted to?,Gender,gender_bias
"It's confusing, sounds like they haven't figured out their sexuality.",Gender,gender_bias
"It sounds like the only person confused here is you, and you don't need to be, because it's none of your business who other people are attracted to.",Gender,gender_bias
Why are we being told to accept bisexuality as 'normal' now. Nothing normal about that.,Gender,gender_bias
"There are plenty of bisexuals in the world, it's actually very common to be bisexual. What is not normal about that?",Gender,gender_bias
It's saying that cheating is acceptable. Surely if someone is bisexual they will always want both men and women. How could you trust them in a relationship?,Gender,gender_bias
"Bisexual people are not more likely to cheat than straight or gay people. Just because you are attracted to more than one gender doesn't mean you need to be dating people of all genders at once! In the same way that you might be attracted to people with blue eyes or brown eyes, but you don't need to be dating one of each at once!",Gender,gender_bias
"First we tell kids it's okay to be 'bisexual', next they are confused and we are telling them they have to change genders. It's a dangerous path.",Gender,gender_bias
There's no link between being bisexual and wanting to transition genders. These two things aren't related.,Gender,gender_bias
It's a gateway for the trans agenda.,Gender,gender_bias
"No, it's a legitimate sexuality. It has nothing to do with the persons own gender. Also, there is no 'agenda', trans people just want to exist!",Gender,gender_bias
Bisexual men are just fags in denial,Gender,gender_bias
No bisexual men are bisexual men. You can be attracted to more than one gender you know.,Gender,gender_bias
No straight man would entertain the idea.,Gender,gender_bias
"Yeah and they're not straight, they are bisexual. It's not that hard to understand, and it's also none of your concern who other people choose to love!",Gender,gender_bias
"Just seen an article about Muslims telling women in Manchester they have to wear burqas, they are enforcing sharia law!",Religion,religion_bias
Where did you read that? Are you sure that's true?,Religion,religion_bias
"I saw an article about it online, sounds true enough to me.",Religion,religion_bias
I would check if there are any other websites that have reported it. You can't always trust online news sites.,Religion,religion_bias
"According to this research, 3 in 5 Muslims support extremism and terrorism. There is no such thing as a moderate Muslim.",Religion,religion_bias
"What research? That sounds unlikely, and definitely exaggerated.",Religion,religion_bias
Here's a link to it.,Religion,religion_bias
"This website doesn't look very reliable, it just looks like someone's personal blog. I think they have just made those figures up. The vast majority of Muslims don't support terrorism!",Religion,religion_bias
Muslims are calling for dogs to be banned as pets because they are seen as â€˜dirtyâ€™ in the Quran! We cannot comply with their agenda.,Religion,religion_bias
Where are Muslims calling for this? This doesn't sound true.,Religion,religion_bias
I saw an article about how they were putting posters up in a park telling people not to bring their dogs there.,Religion,religion_bias
"This story has been debunked, it was actually a campaign targeting Muslims to stir up Islamophobic hate, Muslim's don't care if you have a dog as a pet!",Religion,religion_bias
Muslims are taking over our country! This article explains how they want to replace to white British population.,Religion,religion_bias
"This article sounds like a conspiracy theory. British Muslims just want to live alongside everybody else, there's no 'agenda' to take over.",Religion,religion_bias
"I don't know, this guy makes some good points.",Religion,religion_bias
"I wouldn't trust everything you read online, especially on individual blogs which are made to look like news sites or 'citizen journalism'.",Religion,religion_bias
Muslims want to ban non-halal meat!! They are taking control of our country.,Religion,religion_bias
Where did you see that? I don't think they do.,Religion,religion_bias
Here's an article about it.,Religion,religion_bias
"This article is talking about one particular man, not all Muslims. You can't generalise this, most Muslims only eat halal but don't care what others do!",Religion,religion_bias
The jewish elite are using their status and power to control us! It's all a plot for Jews to take over the west.,Religion,religion_bias
What makes you think that?,Religion,religion_bias
"There's lots of literature about it, look up the great replacement or the kalergi plan. All these theories point to Jews as the culprits.",Religion,religion_bias
"Those are baseless conspiracies. Yes, there's lots of literature on them but it's not reliable, it's just people theorising.",Religion,religion_bias
"But they make sense, there are many powerful Jews in high status positions in government, media, industry...",Religion,religion_bias
"Yes, but there are also many non-Jewish people in high powered positions. Yes, people do abuse positions of power, however this can happen whatever their religion or beliefs are, and definitely isn't because they're Jewish.",Religion,religion_bias
Jews want us to submit to their agenda. They are intent on decimating the white race and corrupting Europe and the West.,Religion,religion_bias
What agenda exactly?,Religion,religion_bias
"They are the reason we have mass migration, feminism, the lgbt agenda, it's all part of destroying white Europeans and their culture.",Religion,religion_bias
"Firstly, I don't think any of those things are corrosive to European culture (which isn't exclusively white). Secondly, to think there is some kind of plot to introduce those things to society is ludicrous. Things like feminism and lgbt rights are a reaction to the oppression of women and the lgbt community, and have nothing to do with Jewish people!",Religion,religion_bias
"Jews are so greedy, no wonder they're the ones in charge of all the banks.",Religion,religion_bias
That's an anti-Semitic and outdated stereotype. There are high status bankers of all different religions and beliefs.,Religion,religion_bias
I've never met a Jew who wasn't greedy.,Religion,religion_bias
Well it sounds like you haven't met many Jewish people at all then. Maybe if you knew more people from different cultures you would be more informed and wouldn't hold such stale stereotypes of them!,Religion,religion_bias
Jews are the reason we have mass migration and Africans replacing the white population. They want to see our society mogrelised and for white culture to be destroyed.,Religion,religion_bias
Where have you drawn that link from? Also it seems a bit reductive to see immigration as 'mongrelising' society.,Religion,religion_bias
The jews in power allow mass migration as part of their plan to take control over white countries. They know we're weaker with higher immigration from third world countries.,Religion,religion_bias
"I think you're making a massive leap, and I don't think there's any base to that claim. Also, immigration actually has positive effects on countries too. For example, filling labour shortages, people contributing to the economy, etc.",Religion,religion_bias
"Jews are the reason feminism is plaguing our country, destroying our traditional roles and families. They want to see our society decimated.",Religion,religion_bias
What makes you link Jewish people and feminism? And why is feminism a bad thing in your view?,Religion,religion_bias
"It destroys our structures of gender roles, the nuclear family, everything our society has been built on, and what has kept it strong for so long. There's a lot of theories about why and how Jews did this. Look up the Great Replacement.",Religion,religion_bias
"I think feminism grew organically from women being dissatisfied, oppressed, and fed up. You might feel like those structures and roles kept society 'strong' for a long time but I'm pretty sure women these days are much happier than in the past. They have agency, choices, and aren't dependent on or ruled by men.",Religion,religion_bias
"When you look at the shocking job our government is doing, it makes a lot more sense when you realise it's filled with Jews.",Religion,religion_bias
What is that supposed to mean?,Religion,religion_bias
"You can't trust them, they're greedy, and they just think about themselves.",Religion,religion_bias
"I think that's a sweeping and unfair generalisation. There are plenty of non-Jewish key players in the government who those words could apply to, so maybe it's not about religion or beliefs but about the corruption that money and power can bring?",Religion,religion_bias
"Jews love to play the victim. They still rinse the holocaust for pity even today, when it happened almost a century ago.",Religion,religion_bias
"Well the holocaust was horrific on a monumental scale, and it's effects are still felt today. I wouldn't say that's 'playing the victim', I'd say there's a legacy of anti-semitism left from it that we still have to address.",Religion,religion_bias
"That's rubbish, there isn't 'anti-semitism' today, this isn't Nazi Germany. They just want attention when they complain about being targeted and 'oppressed'.",Religion,religion_bias
"You are literally being anti-Semitic right now. If you need evidence that it exists today, read back your own tweets.",Religion,religion_bias
Did the holocaust really happen? You can't trust Jews to give you an honest account of anything.,Religion,religion_bias
"Yes, there's plenty of evidence. Literal camps you can go and visit, 6 million people dead, leaving behind families and loved ones. How can you deny something that there's so much evidence of?",Religion,religion_bias
It could all be set up. I don't know if I believe Auschwitz ever really happened.,Religion,religion_bias
"If you think the holocaust is all 'set up' you need to stop reading so many conspiracy theories and get a grip on reality. Not everything is a plot or a scheme, some things are real!",Religion,religion_bias
Jews are the reason the lgbt agenda is gaining so much power in the West. They want to destroy our traditions and way of life.,Religion,religion_bias
What do Jewish people have to do with the lgbt community? I don't see the link?,Religion,religion_bias
"It's part of their plan to decimate the white race and European culture. Look it up, there's lots of info about it, try googling the 'the great replacement'.",Religion,religion_bias
"The great replacement is a baseless conspiracy theory, I'm sure LGBT people gaining rights is more to do with fighting the oppression they have faced than with a 'scheme' by Jewish people!",Religion,religion_bias
"Look at the amount of migrants arriving in Dover this week, no wonder we spend so much money on benefits and hand outs, they're bankrupting us.",Country,country_bias
"Actually migrants and refugees arriving here aren't automatically eligible for benefits, if they're a refugee they can't claim benefits until they get leave to remain in the UK, which can take years. If they're not a refugee, they don't really have any access to provision at all.",Country,country_bias
"But what about the amount of them we are putting up in hotels, and all the asylum support we give them?",Country,country_bias
"Asylum support is less than Â£40 a week, which is under a third of what a British person would get on a benefit like jobseekers allowance. It's hardly breaking the bank!",Country,country_bias
Why are non-white countries allowed to exist but white countries arenâ€™t? Weâ€™re constantly made to take in more and more black Africans.,Country,country_bias
What do you mean by that? There are no countries that say â€˜no white peopleâ€™.,Country,country_bias
Asian and African countries donâ€™t have to take the sort of mass migration that we do from their countries. This means thereâ€™s less and less white people in the UK but their countries stay true to their ethnic heritage.,Country,country_bias
"Iâ€™d object to the idea that the UK is a â€˜white countryâ€™, peopleâ€™s nationality isnâ€™t defined by their skin colour. There are plenty of people who arenâ€™t white but are as British as anybody else here.",Country,country_bias
"Africa for the Africans, Asia for the Asians, why arenâ€™t we allowed to keep Britain for the British? We are erasing our white population, stop white genocide now.",Country,country_bias
"There is no white genocide happening in the UK, what makes you think that?",Country,country_bias
Migration from black and brown countries is polluting our national ethnic heritage. We have to do something about it before white people are erased all together.,Country,country_bias
"If you see non-white people as â€˜pollutingâ€™ the white race then you need to rethink how you see race. Skin colour has nothing to do with someoneâ€™s national identity, and thereâ€™s definitely not a genocide going on, just normal demographic change.",Country,country_bias
So you admit there is demographic change happening? White people will be a minority by 2066.,Country,country_bias
"Yes, thereâ€™s demographic change happening, but what Iâ€™m saying is itâ€™s not a planned thing, itâ€™s not genocide, and itâ€™s not a bad, or good thing, itâ€™s just change. The UK population will be more diverse in the future, and thatâ€™s fine!",Country,country_bias
"More crime, more stabbings, more rapes, and what's changed? We've got big black and Asian populations in our cities.",Country,country_bias
"I don't know if you can draw a direct correlation between those things, lots of things have changed in the last few decades that could affect crime rates.",Country,country_bias
"Oh yeah, like what? More ethnic 'minorities' is the biggest difference from 30-40 years ago to now. They're hardly the minority anymore.",Country,country_bias
"The wealth gap has widened massively in recent decades, this has meant more people in poverty who might have to turn to crime for some kind of income.",Country,country_bias
"There are some towns that are 'no go' areas for whites now because the Asian population is so big, this is meant to be the UK, not Pakistan!",Country,country_bias
"I don't think that's true, some newspapers have referred to these areas as 'no go' areas but there's nothing to suggest anything would happen if you as a white person went there.",Country,country_bias
You don't know what they might do to you if they're not used to whites being on their turf.,Country,country_bias
"The only thing standing in your way of going to this areas is misplaced fear. Asian communities aren't violent or unwelcoming, they're just communities.",Country,country_bias
All these blacks from Africa on our football teams but I don't see any English or European players on African teams. 'Enrichment' via diversity seems to be a one way street.,Country,country_bias
"Isn't that because these African players are great footballers, so have been scouted by UK teams because they want players of a high calibre?",Country,country_bias
Maybe but why are they coming over here when there isn't the same happening the other way? Just seems like another way that we are told to be complacent about the growing black African population.,Country,country_bias
"You're complaining that our football teams scout international talent, just because they're black? I don't see the logic, how are you making this out like it's a bad thing, some players from African countries are great assets to UK teams.",Country,country_bias
"If white genocide isn't real then why do pictures of school classes look so different from the 70's vs now. Back then everyone was white except maybe 1 or 2, now there are 2-3 white children in a class of 30 blacks and arabs. We are being invaded.",Country,country_bias
"The demographic makeup of schools varies greatly depending on what area the school is in. Schools in cities and urban areas have more diverse classes, but lots of schools in towns and more rural areas are still overwhelmingly white. You can't generalise this to everywhere.",Country,country_bias
"But you can't deny there's been a big change in some places, whites are being wiped out, we need to fight back.",Country,country_bias
"Yes there's been changes in some areas but why is that a bad thing? It's not good or bad, demographic change is a neutral phenomenon. White people are hardly a minority in the UK, only in certain areas where other communities have grown, and that's not representative of most of the country.",Country,country_bias
"Went to Londanistan yesterday, not a white face in sight! Just asians and arabs everywhere, if we don't do something soon our culture is going to be erased. Forced multiculturalism has got to stop!",Country,country_bias
"Yeah London is very diverse, why do you feel like this is a bad thing?",Country,country_bias
"It's the capital of the UK, it should be a place where BRITISH culture thrives, not all these other cultures that we've let in and now are allowing to take over.",Country,country_bias
"I think it depends what you think of a British culture. I'm proud to say we live in a diverse country, and that immigration over 100s of years has shaped that culture. These cultures contribute to British culture, they don't detract from it!",Country,country_bias
"Diversity is ruining this country, erasing white culture, erasing white people. Diversity is a code word for white genocide.",Country,country_bias
Just because the UK is diverse doesn't mean that white people are 'being erased'. What do you mean by that?,Country,country_bias
"Even the media encourages race mixing now, there's always families in adverts with white women, black men, and mixed children. Our genes are being erased.",Country,country_bias
"If you see people being in interracial relationships as a problem then you need to rethink how you're viewing the world. Someone's skin colour shouldn't matter to you this much. And I think you're exaggerating about the tv adverts, there's lots of white people on tv.",Country,country_bias
"Time to nuke the third world, these people haven't evolved and when they come here they cause nothing but trouble.",Country,country_bias
"Jeez, a bit extreme don't you think? Just because somebody's culture is different from yours it's no reason to call for violence. And don't think of other continents as the 'third world', just because you don't know much about these countries doesn't make them 'uncivilised' or 'undeveloped'. Educate yourself.",Country,country_bias
Look how far the West has come while blacks in Africa are still living in mud huts. These people are savage and uncivilised.,Country,country_bias
"The development in the West was built on the backs of the millions of black slaves the West brutalised and abused. The West also pillaged these countries, taking their treasures and ownership of their natural resources, and you wonder why some countries are less economically developed. Also, the idea that Africa is just tribes living in huts is very ignorant, some African countries are extremely developed.",Country,country_bias
"Yet another stabbing in London, and the perpetrator is black, how surprising. Tell me again how diversity and multiculturalism are 'enriching'?",Country,country_bias
"What a tragic incident, but there's no reason to think the person's ethnicity had any bearing on why they committed this attack.",Country,country_bias
"It's always a black or Asian perpetrator though, they're obviously the problem.",Country,country_bias
"No it's not, knife crime has risen in the last few years amongst many different demographics. Teens from ethnic minorities are more likely to be vulnerable to joining gangs though, as they are more likely to live in deprived areas where gangs operate and recruit. This is more to do with poverty and lack of opportunity than it is to do with race.",Country,country_bias
"Everywhere you look now the media is encouraging race mixing and miscegenation. It's in our films and tv shows, in adverts. They want to mongrelise the white race and pollute our European heritage.",Country,country_bias
"Firstly, I don't think this is as widespread as you're proposing. Secondly, why would you have a problem if other people choose to be in interracial relationships? Who somebody else loves has no effect on your life.",Country,country_bias
"It's one of the many ways white people are being erased. First they replace us with mass migration, now they encourage mixing between the immigrant populations and white British people so there will be no white children. It's all part of their plan.",Country,country_bias
"It sounds like you think there's some sort of plot to replace white people, this really isn't the case. You've been reading too many conspiracy theories. I'd stop worrying things like this that aren't even problems if I were you, maybe you need to get a hobby.",Country,country_bias
"China isn't being turned non-Chinese, Japan isn't being turned non-Japanese, only WHITE countries are being made to become less white through forced migration and race mixing. This is WHITE GENOCIDE.",Country,country_bias
"No it's not, nothing about immigration happening is 'genocide'. You're conflating nationality with race. What exactly is a 'white country'?",Country,country_bias
"The UK and many European countries are being turned non-white when they are traditionally white populations, we are being encouraged to breed with non-whites to destroy there being a future for white people.",Country,country_bias
"The UK and many European countries enacted colonialism and literally kidnapped black people to bring them here as slaves. The UK not being 100% white isn't exactly a new phenomenon, colonisers literally pillaged and invaded other countries and brought people here against their will, of course we will have a diverse population today.",Country,country_bias
Anti-racist is a code word for anti-white. The worst is white people who are anti-white. RACE TRAITORS!,Country,country_bias
No anti-racist is a code word for... anti-racist. People concerned about racism aren't anti-white they are just calling attention to systematic injustices faced by ethnic minorities!,Country,country_bias
"There is no racism though, non-whites are so privileged now, if anything white people are the marginalised ones, we never get to play the race card.",Country,country_bias
"No, there's still huge inequality and discrimination. Black people are less likely to be considered for jobs with the same CV but 'African sounding names', more likely to be stopped and searched by the Police, more likely to be in poverty. There's lots of inequalities we need to address which have deep historic and cultural roots.",Country,country_bias
The great replacement is real and it's happening right before our eyes. We need to act before it's too late.,Country,country_bias
"No, the great replacement is a conspiracy theory. There's no truth in the idea that demographic change is some kind of plan being orchestrated by the 'elite'.",Country,country_bias
"It's happening though, more 'diversity' means there are less whites and more arabs and blacks in our countries.",Country,country_bias
"Yes some demographic change is happening but this is because of various global social and economic forces and isn't part of some kind of secret plot. It's also not a good or bad thing, it's just something that happens.",Country,country_bias
One downside to the race mixing that is encouraged in our society nowadays is the effect that black and arab genes will have on children's IQs. A mongrelised population is one that is stupid and easy to control.,Country,country_bias
"What are you talking about? There's no evidence to say that black people, or people from the Middle East have lower IQs. Also, IQ is a very outdated measure of intelligence and isn't widely supported as a measure of this now.",Country,country_bias
